X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
37.258345452106,-0.621431744300963,"9806303647",node,21.875,pharmacy,pharmacy,Murrihs pharmacy,,,pharmacy,business,,,,,,,,,no,,,,,,,,,,,122163766,1,2022/06/09 12:28:16+00,e34a05e2e285408ea1a9d7eeb5e5fd55
,,"606344975",way,12.5,hospital,hospital,Riversite Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,84316731,2,2020/04/29 07:31:18+00,cbab01fe83a34421a2489a7a36b88948
36.3514952778229,0.039231037301874,"9810337113",node,9.375,hospital,,o,,,,,,,,,,,,,,,,,,,,,,,,122239334,1,2022/06/11 08:27:28+00,df0388cbdff44e4d81c4434192577662
34.7714618540715,-0.676844757638179,"8187913519",node,15.625,pharmacy,pharmacy,Shivling,,,,,,,,,,,yes,,,,,,,,,,,,,113752869,3,2021/11/14 07:09:04+00,dcb23539aa28494ea9a1ce1775dbf842
34.8482269275529,-0.370387541645869,"8659509434",node,12.5,hospital,hospital,Free Clinic,,,,,,,,,,,,,,,,,,,,,,,,103494274,1,2021/04/23 16:14:41+00,d7df3725429b4b668b17dd56b0f4afc2
,,"295051345",way,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,24436847,1,2014/07/30 07:15:40+00,a648d9ba16684a7790f9ecb39d8ac628
36.8762999818378,-1.30977006144019,"8894604390",node,12.5,pharmacy,pharmacy,Duka la dawa,,,,,,,,,,,,,,,,,,,,,,,,107429931,1,2021/07/05 09:39:09+00,ffad7ee4c4ec40ec95a98323f594b278
39.4073177366611,-3.55536356136156,"3421461757",node,12.5,hospital,,mitangani dispensary,,,,government,,,,,,,,,,,,,,,,,,,,30194481,2,2015/04/13 18:07:51+00,9a5e7e1672a347e0bdf4ec7dd541b9a5
36.7820292197595,-1.3080084368502,"6969796687",node,9.375,clinic,,Regatta Medical,,,,,,,,,,,,,,,,,,,,,,,,135045277,2,2023/04/18 07:38:35+00,33ad028095dd47c7b7163d229a348069
35.7324238350431,-0.252346540357763,"2165018906",node,15.625,pharmacy,,One Door Stop,,Field Survey,,,,,,,,,yes,,,,,,,,,,,,,15108838,1,2013/02/21 08:11:26+00,a70339ee2b004046b5e794e02652a067
36.8927796416673,-1.35221601911087,"8415862317",node,25,clinic,clinic,Africare Ltd (South C),,,,private,operational,Mo-Fr 08:00-17:00,"0",,,,,,,,,,,,,,,,,99127591,1,2021/02/11 18:08:01+00,91284e7c072f40e9986502be28f3fa8a
